id,title,subtitle,company,location,sublocation,hourly_rate_neto,hourly_rate_bruto,hourly_rate_from,payment_type,description,open_positions,duration,work_schedule,start_date,first_seen,last_seen
423010,ZDRAVSTVENA NEGA,,DOM STAREJŠIH OBČANOV GROSUPLJE,"GROSUPLJE, OB GROSUPELJŠČICI 28",,7.74,9.0,7.74 €/h neto (9.00 €/h bruto),HOURLY,"Potrebujejo osebe, ki so pripravljene pomagati starejšim pri osnovnih potrebah (umivanje, oblačenje, hranjenje . . . ). So mlad kolektiv, ki je zelo prilagodljiv glede urnika. Možnost kasnejše zaposlitve, nadaljnjega izobraževanja. Nedelja ali praznik - postavka 9,50 € bruto.",5,PO DOGOVORU,IZMENSKO,,2026-03-12T20:27:52.341669+00:00,2026-03-16T20:07:33.873038+00:00
423157,STREŽBA,,ŽELJKO JOVANOVIČ S.P. DNEVNI BAR IN GOSTINSKI VRT #HAVANA CLUB#,"LJUBLJANA - ČRNUČE, DUNAJSKA CESTA 348",AERO CLUB HAVANA,10.0,11.62,10.00 €/h neto (11.62 €/h bruto),HOURLY,"Podjetje potrebuje komunikativno, vestno in zanesljivo osebo za delo in pomoč v strežbi. Pogoj je pogovorno znanje slovenskega jezika. Le-ta poteka v mirnem ambientu in prijetnem kolektivu. Zainteresirani pokličite ali se oglasite osebno v lokalu (vsak dan od 12. 00 do 20. 00). Možnost tudi samo dopoldanskega dela.",,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,,2026-03-12T20:27:52.341669+00:00,2026-03-16T20:07:33.873038+00:00
423399,STREŽBA,,"PUMPA, SERVIS D.O.O.","KOPER, KOLODVORSKA CESTA IN/ALI ŠMARSKA CESTA",PETROL,,,PO DOGOVORU,NEGOTIABLE,"Iščejo osebe za delo v baru, v prijetnem delovnem okolju in v dobri ekipi. Urnik dela po dogovoru. Izkušnje so zaželene, vendar niso pogoj. Če je potrebno te naučijo in med sabo si vedno pomagajo. Pogoj polnoletnost.",3,PO DOGOVORU,IZMENSKO,,2026-03-12T20:27:52.341669+00:00,2026-03-16T20:07:33.873038+00:00
423400,DELO NA BENCINSKEM SERVISU,DELO V AVTOPRALNICI,"PUMPA, SERVIS D.O.O.","KOPER, KOLODVORSKA CESTA IN ŠMARSKA CESTA",BENCINSKI SERVIS PETROL,,,PO DOGOVORU,NEGOTIABLE,"Podjetje išče več polnoletnih oseb za razna dela na bencinskem servisu - delo v trgovini, delo v avtopralnici.",4,PO DOGOVORU,IZMENSKO,,2026-03-12T20:27:52.341669+00:00,2026-03-16T20:07:33.873038+00:00
424019,STREŽBA,,"GOSTINSTVO, STANISLAV KOROŠEC S.P.","STRANICE, SPODNJE STRANICE 37",LOKAL STRANICE,7.73,8.98,7.73 €/h neto (8.98 €/h bruto),HOURLY,"Iščejo študenta/ki za samostojno opravljanje dela pri strežbi pijač v top ambientu in prijaznem kolektivu. Delo je izmensko in ne zahteva posebnih veščin, le ustrezno pripravo in postrežbo pijač v ponudbi ter nasmešek na obrazu. Pošlji prijavo ali jih pokliči.",2,PO DOGOVORU,IZMENSKO,,2026-03-12T20:27:52.341669+00:00,2026-03-16T20:07:33.873038+00:00
424075,POUČEVANJE,,"HOUSING CO., D.O.O., LJUBLJANA",OD DOMA,,12.86,14.95,12.86 €/h neto (14.95 €/h bruto),HOURLY,"Iščejo študente podiplomskih študijskih programov ali absolvente (m/ž), ki imajo odlično znanje različnih tujih jezikov za predavanja na spletnih webinarjih. Zaželene predhodne izkušnje s predavanjem/inštruiranjem. Iščejo angleški, nemški, italijanski, turški, francoski, hrvaški jezik in druge. Delo je od doma, občasno, večkrat na mesec za nekaj ur oziroma po dogovoru, potrebno je imeti svoj računalnik in web kamero. Pošljite svoj življenjepis skupaj z dokazilom o izobrazbi.",3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,,2026-03-12T20:27:52.341669+00:00,2026-03-16T20:07:33.873038+00:00
424144,POUČEVANJE,,KARNION D.O.O.,"MEDVODE, VERJE 13A",,,,20 - 25 € BRUTO/45 MIN,OTHER,"Poučevanje francoskega jezika. Pogoj: absolvent/ka z izkušnjami poučevanja, za samostojno poučevanje vseh stopenj francoskega jezika. Zaželeno je tudi, da ste proaktivni in imate visoko stopnjo osebnostne inteligence, da ste komunikativni in samoiniciativni, da imate smisel za delo v skupini, ste zanesljivi, odgovorni in natančni. Prijavo in CV pošlji na e-mail.",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,,2026-03-12T20:27:52.341669+00:00,2026-03-16T20:07:33.873038+00:00
424244,POMOČ V STREŽBI,SOMMELIER,"BISTRO BOMBINA, URH KAPELAR S.P.","TRBOVLJE, ULICA 1. JUNIJA 8",,7.73,8.98,7.73 €/h neto (8.98 €/h bruto),HOURLY,"Potrebujejo polnoletne osebe za pomoč v strežbi. Pogoj je znanje slovenskega jezika. Prednost imajo kandidati, ki imajo že nekaj znanja o vinih. Objavljena urna postavka je izhodiščna v primeru neizkušenj.",3,PO DOGOVORU,PO DOGOVORU,,2026-03-12T20:27:52.341669+00:00,2026-03-16T20:07:33.873038+00:00
424661,POMOČ V STREŽBI,,"MMAS, GOSTINSTVO, D.O.O.",JESENICE,RAUFNK BAR,7.73,8.98,7.73 €/h neto (8.98 €/h bruto),HOURLY,Podjetje išče osebi za pomoč v strežbi.,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,,2026-03-12T20:27:52.341669+00:00,2026-03-16T20:07:33.873038+00:00
425039,POMOČ PRI PRODAJI,,M-SFINGA D.O.O.,"ŠKOFJA LOKA-MESTO, MESTNI TRG 40",PEKARSTVO OREHEK,7.73,8.98,7.73 €/h neto (8.98 €/h bruto),HOURLY,"Pomoč pri prodaji pekovskih izdelkov v manjši prodajalni, dopeka na delovnem mestu. Delo z blagajno in denarjem. Delo poteka dvoizmensko oziroma glede na zmožnost in prilagoditev študijskih obveznosti. Delo poteka tudi ob sobotah, po dogovoru. Nudijo tudi možnost kasnejše redne zaposlitve. Urna postavka je od 8,98 € bruto navzgor, glede na interes kandidata/ke, možnost stimulacije.",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,,2026-03-12T20:27:52.341669+00:00,2026-03-16T20:07:33.873038+00:00
